"23.703610,120.413295,1","23.698812,120.394894,1","23.702549,120.421311,2","23.711690,120.402288,1","23.718280,120.389380,1","23.715208,120.390002,1","23.709830,120.379025,1","23.699516,120.377351,1","23.695459,120.417680,1","23.695000,120.426538,1","23.685920,120.422832,1","23.690287,120.428366,1","23.695472,120.404578,1","23.681623,120.401369,1","23.682520,120.404091,1","23.672969,120.397832,1","23.681516,120.400474,1","23.702907,120.407884,1","23.705115,120.401750,1","23.689751,120.398900,1","23.710641,120.411409,1","23.699655,120.404186,1","23.709229,120.421112,1","23.706560,120.413075,1","23.728575,120.477581,1","23.729400,120.487552,1","23.715182,120.426769,1","23.740724,120.453861,1","23.725073,120.454544,1","23.745191,120.443657,1","23.729973,120.426746,1","23.720618,120.426752,2","23.715710,120.416240,2","23.725206,120.409480,3","23.728152,120.407557,2","23.712924,120.414490,3","23.721230,120.402829,2","23.730205,120.409098,2","23.741283,120.464314,3","23.739933,120.465037,3","23.742404,120.478686,3","23.740500,120.475381,2","23.740540,120.484462,1","23.750864,120.461997,4","23.731603,120.469960,1","23.747021,120.456551,3","23.740700,120.464959,2","23.734799,120.466990,4","23.729474,120.447467,2","23.734405,120.449870,2","23.725853,120.467840,3","23.724980,120.460725,2","23.678829,120.389411,1","23.733204,120.480266,4","23.717803,120.473940,2","23.724420,120.495270,1","23.690228,120.437420,2","23.700016,120.445936,1","23.680966,120.431909,1","23.694520,120.446807,2","23.701014,120.442695,2","23.686105,120.437520,2","23.708070,120.468744,2","23.714615,120.470770,2","23.711130,120.474252,2","23.702468,120.480241,2","23.719270,120.483238,2","23.729077,120.480071,2","23.722417,120.398023,1","23.742701,120.404230,2","23.722602,120.418060,1","23.712188,120.410220,2","23.716670,120.406550,2","23.722243,120.409437,3","23.721050,120.403944,1","23.711707,120.418132,1","23.721140,120.407380,2","23.707870,120.407627,1","23.704060,120.399790,1","23.719116,120.411320,1","23.701262,120.390890,1","23.714860,120.392548,1","23.702697,120.394610,1","23.720224,120.393040,1","23.706777,120.369685,1","23.699550,120.369780,1"
0,295.066,0,46.593,80.65,202.762,0,0,0,0,0,0,0,0,0,0,129.42,0,0,0,0,0,241.543,0,0,0,0,0,73.074,72.807,0,42.531,83.653,0,0,0,0,0,0,0,223.965,0,0,145.471,88.852,0,0,119.484,0,0,167.232,0,0,0,0,0,0,73.432,0,0,0,0,0,0,0,0,0.858,0,301.14,161.643,114.656,0,0,0,0,0,0,0,48.262,9.512,0,111.97,71.121,141.14,0,0
0,0,0,4.717,0,169.912,0,41.586,0,0,0,136.839,0,0,0,0,0,0,87.024,145.662,0,87.327,0.166,0,291.338,169.272,0,0,0,0,0,0,0,13.031,0,0,0,0,0,0,0,0,362.324,0,0,0,0,0,0,0,154.094,0,0,0,0,285.995,0,0,0,0,0,0,0,0,0,0,0.362,84.699,85.098,105.365,0,0,0,0,0,183.946,0,0,0,0,0,0,0,0,0,178.448
0,273.271,0,63.476,84.097,155.734,0,68.731,185.392,225.229,0,0,0,221.075,65.859,55.798,1.725,176.804,0,0,0,0,226.799,0,28.215,82.297,0,0,89.868,91.519,0,0,0,13.531,0,34.038,0,0,105.573,76.883,0,88.583,0,0,86.337,0,79.613,0,0,0,172.835,0,0,0,0,0,0,0,0,0,45.111,0,0,270.691,264.511,88.871,271.177,253.305,0,0,0,0,0,0,0,0,0,0,46.406,143.354,0,0,0,0,0,0
0,0,0,0,0,154.286,58.324,0,0,0,0,24.312,159.892,0,0,84.233,72.059,0,0,296.749,0,143.755,0.298,360.133,0,0,98.527,93.61,0,0,30.306,0,0,7.015,70.109,66.197,0,67.378,0,0,0,0,0,151.32,0,0,0,131.042,0,0,186.318,0,0,99.147,0,348.511,0,0,156.381,0,0,134.198,0,109.399,0,0,0,0,261.653,152.3,6.52,6.192,0,65.969,0,168.974,0,0,0,0,0,147.82,93.904,171.921,0,192.559
0,255.188,0,57.412,0,153.712,0,86.825,0,0,0,0,0,0,0,0,0,0,0,1.004,0,0,326.359,0,0,0,0,0,95.212,97.829,0,0,0,0,0,0,105.848,0,0,0,0,0,0,85.81,0,131.975,0,86.292,0,0,0,0,0,0,0,0,0,99.562,0,0,0,0,0,0,0,0,3,0,0,0,89.482,0,0,0,0,0,0,0,55.306,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,205.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,195.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.989,0,0,0,129.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
